Date,InstrumentID,Yield
10/10/2024,EU2035,0.029030819
11/10/2024,EU2035,0.030614569
14/10/2024,EU2035,0.031465664
15/10/2024,EU2035,0.030669382
16/10/2024,EU2035,0.030381655
17/10/2024,EU2035,0.027620414
18/10/2024,EU2035,0.027215454
21/10/2024,EU2035,0.026766215
22/10/2024,EU2035,0.027327568
23/10/2024,EU2035,0.026297087
24/10/2024,EU2035,0.027351251
25/10/2024,EU2035,0.029456145
28/10/2024,EU2035,0.02978332
29/10/2024,EU2035,0.030493333
30/10/2024,EU2035,0.030584844
31/10/2024,EU2035,0.030567467
01/11/2024,EU2035,0.029107327
04/11/2024,EU2035,0.029767096
05/11/2024,EU2035,0.02957951
06/11/2024,EU2035,0.033778461
07/11/2024,EU2035,0.036811817
08/11/2024,EU2035,0.037379156
11/11/2024,EU2035,0.035631667
12/11/2024,EU2035,0.033237894
13/11/2024,EU2035,0.035523043
14/11/2024,EU2035,0.03588285
15/11/2024,EU2035,0.036666651
18/11/2024,EU2035,0.03297748
19/11/2024,EU2035,0.034743032
20/11/2024,EU2035,0.035509582
21/11/2024,EU2035,0.033123433
22/11/2024,EU2035,0.03208668
25/11/2024,EU2035,0.032551514
26/11/2024,EU2035,0.032579903
27/11/2024,EU2035,0.031918163
28/11/2024,EU2035,0.031653642
29/11/2024,EU2035,0.031100078
02/12/2024,EU2035,0.0313722
03/12/2024,EU2035,0.034274018
04/12/2024,EU2035,0.029012481
05/12/2024,EU2035,0.028568406
06/12/2024,EU2035,0.028964379
09/12/2024,EU2035,0.029587435
10/12/2024,EU2035,0.028855983
11/12/2024,EU2035,0.02537686
12/12/2024,EU2035,0.026171545
13/12/2024,EU2035,0.029741099
16/12/2024,EU2035,0.026681143
17/12/2024,EU2035,0.028508365
18/12/2024,EU2035,0.027896064
19/12/2024,EU2035,0.027836533
20/12/2024,EU2035,0.02579564
23/12/2024,EU2035,0.025252859
24/12/2024,EU2035,0.027995362
25/12/2024,EU2035,0.029220812
26/12/2024,EU2035,0.032708811
27/12/2024,EU2035,0.03498237
30/12/2024,EU2035,0.035711072
31/12/2024,EU2035,0.039027609
01/01/2025,EU2035,0.039634767
02/01/2025,EU2035,0.041001701
03/01/2025,EU2035,0.040078508
06/01/2025,EU2035,0.039909244
07/01/2025,EU2035,0.038217119
08/01/2025,EU2035,0.039949773
09/01/2025,EU2035,0.037294673
10/01/2025,EU2035,0.038640533
13/01/2025,EU2035,0.038000015
14/01/2025,EU2035,0.040102509
15/01/2025,EU2035,0.041301172
16/01/2025,EU2035,0.044603429
17/01/2025,EU2035,0.045626875
20/01/2025,EU2035,0.042013989
21/01/2025,EU2035,0.041519663
22/01/2025,EU2035,0.038830058
23/01/2025,EU2035,0.037528597
