Date,InstrumentID,Yield
10/10/2024,OAT2034,0.04204367
11/10/2024,OAT2034,0.040863215
14/10/2024,OAT2034,0.041767479
15/10/2024,OAT2034,0.038592538
16/10/2024,OAT2034,0.038040115
17/10/2024,OAT2034,0.038297867
18/10/2024,OAT2034,0.038176729
21/10/2024,OAT2034,0.03981304
22/10/2024,OAT2034,0.040507939
23/10/2024,OAT2034,0.041829353
24/10/2024,OAT2034,0.040397728
25/10/2024,OAT2034,0.042181427
28/10/2024,OAT2034,0.045373858
29/10/2024,OAT2034,0.043272343
30/10/2024,OAT2034,0.041398781
31/10/2024,OAT2034,0.044028387
01/11/2024,OAT2034,0.043524847
04/11/2024,OAT2034,0.046226744
05/11/2024,OAT2034,0.045154871
06/11/2024,OAT2034,0.047910316
07/11/2024,OAT2034,0.047935978
08/11/2024,OAT2034,0.048214356
11/11/2024,OAT2034,0.051097362
12/11/2024,OAT2034,0.0500409
13/11/2024,OAT2034,0.047857429
14/11/2024,OAT2034,0.046724577
15/11/2024,OAT2034,0.047427508
18/11/2024,OAT2034,0.044073164
19/11/2024,OAT2034,0.045225911
20/11/2024,OAT2034,0.043991591
21/11/2024,OAT2034,0.046167469
22/11/2024,OAT2034,0.041193924
25/11/2024,OAT2034,0.039584975
26/11/2024,OAT2034,0.036224489
27/11/2024,OAT2034,0.034685296
28/11/2024,OAT2034,0.035340069
29/11/2024,OAT2034,0.035121413
02/12/2024,OAT2034,0.034761016
03/12/2024,OAT2034,0.034599816
04/12/2024,OAT2034,0.035168598
05/12/2024,OAT2034,0.033296468
06/12/2024,OAT2034,0.034911273
09/12/2024,OAT2034,0.036389267
10/12/2024,OAT2034,0.037267665
11/12/2024,OAT2034,0.038462702
12/12/2024,OAT2034,0.039101656
13/12/2024,OAT2034,0.043198753
16/12/2024,OAT2034,0.042928602
17/12/2024,OAT2034,0.042226578
18/12/2024,OAT2034,0.040652725
19/12/2024,OAT2034,0.038568618
20/12/2024,OAT2034,0.036122616
23/12/2024,OAT2034,0.034461343
24/12/2024,OAT2034,0.034486142
25/12/2024,OAT2034,0.035320148
26/12/2024,OAT2034,0.035562828
27/12/2024,OAT2034,0.034164872
30/12/2024,OAT2034,0.036140295
31/12/2024,OAT2034,0.037734912
01/01/2025,OAT2034,0.037483568
02/01/2025,OAT2034,0.036253228
03/01/2025,OAT2034,0.037462487
06/01/2025,OAT2034,0.03791456
07/01/2025,OAT2034,0.035080869
08/01/2025,OAT2034,0.035092482
09/01/2025,OAT2034,0.035763779
10/01/2025,OAT2034,0.034091476
13/01/2025,OAT2034,0.034648419
14/01/2025,OAT2034,0.031899321
15/01/2025,OAT2034,0.034814714
16/01/2025,OAT2034,0.037466172
17/01/2025,OAT2034,0.037037153
20/01/2025,OAT2034,0.037852947
21/01/2025,OAT2034,0.033097514
22/01/2025,OAT2034,0.030991894
23/01/2025,OAT2034,0.030674579
24/01/2025,OAT2034,0.028810076
27/01/2025,OAT2034,0.030574566
28/01/2025,OAT2034,0.034851922
29/01/2025,OAT2034,0.032653135
30/01/2025,OAT2034,0.031198614
31/01/2025,OAT2034,0.031933553
03/02/2025,OAT2034,0.035397778
04/02/2025,OAT2034,0.033091096
05/02/2025,OAT2034,0.033796436
06/02/2025,OAT2034,0.03762514
07/02/2025,OAT2034,0.034392868
10/02/2025,OAT2034,0.031998943
11/02/2025,OAT2034,0.031391762
12/02/2025,OAT2034,0.030608832
13/02/2025,OAT2034,0.03251577
14/02/2025,OAT2034,0.033223616
17/02/2025,OAT2034,0.029876984
18/02/2025,OAT2034,0.031211495
19/02/2025,OAT2034,0.030320072
20/02/2025,OAT2034,0.033159364
21/02/2025,OAT2034,0.032109408
24/02/2025,OAT2034,0.031072896
25/02/2025,OAT2034,0.032422972
26/02/2025,OAT2034,0.034176136
27/02/2025,OAT2034,0.03524705
28/02/2025,OAT2034,0.032018444
03/03/2025,OAT2034,0.03333396
04/03/2025,OAT2034,0.031465325
05/03/2025,OAT2034,0.032191917
06/03/2025,OAT2034,0.029578691
07/03/2025,OAT2034,0.030783975
10/03/2025,OAT2034,0.029447258
11/03/2025,OAT2034,0.027198571
12/03/2025,OAT2034,0.029010254
13/03/2025,OAT2034,0.029823235
14/03/2025,OAT2034,0.028900584
17/03/2025,OAT2034,0.032135925
18/03/2025,OAT2034,0.031490542
19/03/2025,OAT2034,0.031810041
20/03/2025,OAT2034,0.032593567
21/03/2025,OAT2034,0.031576428
24/03/2025,OAT2034,0.032771408
25/03/2025,OAT2034,0.031921361
26/03/2025,OAT2034,0.031340443
27/03/2025,OAT2034,0.034325515
28/03/2025,OAT2034,0.032414578
31/03/2025,OAT2034,0.02781658
01/04/2025,OAT2034,0.031403956
02/04/2025,OAT2034,0.036760494
03/04/2025,OAT2034,0.03604714
04/04/2025,OAT2034,0.03229205
07/04/2025,OAT2034,0.03190232
08/04/2025,OAT2034,0.031572805
09/04/2025,OAT2034,0.031445773
10/04/2025,OAT2034,0.029475624
11/04/2025,OAT2034,0.030950477
14/04/2025,OAT2034,0.032270978
15/04/2025,OAT2034,0.029514037
16/04/2025,OAT2034,0.03122701
17/04/2025,OAT2034,0.035595569
18/04/2025,OAT2034,0.036071623
21/04/2025,OAT2034,0.035514824
22/04/2025,OAT2034,0.035365373
23/04/2025,OAT2034,0.036734925
24/04/2025,OAT2034,0.033371534
25/04/2025,OAT2034,0.033899169
28/04/2025,OAT2034,0.033301267
29/04/2025,OAT2034,0.037197879
30/04/2025,OAT2034,0.036933597
01/05/2025,OAT2034,0.040361364
02/05/2025,OAT2034,0.038143042
05/05/2025,OAT2034,0.039373269
06/05/2025,OAT2034,0.040030871
07/05/2025,OAT2034,0.038291851
08/05/2025,OAT2034,0.038697887
09/05/2025,OAT2034,0.041161988
12/05/2025,OAT2034,0.040479545
13/05/2025,OAT2034,0.037081234
14/05/2025,OAT2034,0.037133671
15/05/2025,OAT2034,0.035414815
16/05/2025,OAT2034,0.034867688
19/05/2025,OAT2034,0.034858482
20/05/2025,OAT2034,0.031601423
21/05/2025,OAT2034,0.028622064
22/05/2025,OAT2034,0.029927536
23/05/2025,OAT2034,0.029184272
26/05/2025,OAT2034,0.024379255
27/05/2025,OAT2034,0.026417566
28/05/2025,OAT2034,0.027369778
29/05/2025,OAT2034,0.026320935
30/05/2025,OAT2034,0.024097647
02/06/2025,OAT2034,0.026246333
03/06/2025,OAT2034,0.027357644
04/06/2025,OAT2034,0.03250212
05/06/2025,OAT2034,0.033567433
06/06/2025,OAT2034,0.034535817
09/06/2025,OAT2034,0.034365886
10/06/2025,OAT2034,0.036168461
11/06/2025,OAT2034,0.037533578
12/06/2025,OAT2034,0.040111021
13/06/2025,OAT2034,0.039065044
16/06/2025,OAT2034,0.038222278
17/06/2025,OAT2034,0.037317403
18/06/2025,OAT2034,0.038979485
19/06/2025,OAT2034,0.042006849
20/06/2025,OAT2034,0.041028962
23/06/2025,OAT2034,0.040148546
24/06/2025,OAT2034,0.040772244
25/06/2025,OAT2034,0.040257554
26/06/2025,OAT2034,0.042153935
27/06/2025,OAT2034,0.037585762
30/06/2025,OAT2034,0.036004779
01/07/2025,OAT2034,0.034559803
02/07/2025,OAT2034,0.030082297
03/07/2025,OAT2034,0.028452551
04/07/2025,OAT2034,0.026968662
07/07/2025,OAT2034,0.026957393
08/07/2025,OAT2034,0.029574603
09/07/2025,OAT2034,0.029397244
10/07/2025,OAT2034,0.027653699
11/07/2025,OAT2034,0.027910179
14/07/2025,OAT2034,0.030371221
15/07/2025,OAT2034,0.028708167
16/07/2025,OAT2034,0.027225772
17/07/2025,OAT2034,0.028726097
18/07/2025,OAT2034,0.028621241
21/07/2025,OAT2034,0.030257574
22/07/2025,OAT2034,0.030522553
23/07/2025,OAT2034,0.032210203
24/07/2025,OAT2034,0.030373741
25/07/2025,OAT2034,0.03063836
28/07/2025,OAT2034,0.030497829
29/07/2025,OAT2034,0.028351112
30/07/2025,OAT2034,0.025573623
31/07/2025,OAT2034,0.027377912
01/08/2025,OAT2034,0.02705467
04/08/2025,OAT2034,0.025398469
05/08/2025,OAT2034,0.025644157
06/08/2025,OAT2034,0.02833087
07/08/2025,OAT2034,0.024119469
08/08/2025,OAT2034,0.021602607
11/08/2025,OAT2034,0.020308756
12/08/2025,OAT2034,0.023821851
13/08/2025,OAT2034,0.02487237
14/08/2025,OAT2034,0.026860833
15/08/2025,OAT2034,0.024974686
18/08/2025,OAT2034,0.023186374
19/08/2025,OAT2034,0.02458641
20/08/2025,OAT2034,0.025165366
21/08/2025,OAT2034,0.026707883
22/08/2025,OAT2034,0.026731305
25/08/2025,OAT2034,0.027685653
26/08/2025,OAT2034,0.028371321
27/08/2025,OAT2034,0.030275717
28/08/2025,OAT2034,0.032181462
29/08/2025,OAT2034,0.029176274
01/09/2025,OAT2034,0.025006448
02/09/2025,OAT2034,0.027459746
03/09/2025,OAT2034,0.030211404
04/09/2025,OAT2034,0.028463815
05/09/2025,OAT2034,0.02509023
08/09/2025,OAT2034,0.025735593
09/09/2025,OAT2034,0.028025202
10/09/2025,OAT2034,0.031979635
11/09/2025,OAT2034,0.033252841
12/09/2025,OAT2034,0.032711822
15/09/2025,OAT2034,0.031144206
16/09/2025,OAT2034,0.031432783
17/09/2025,OAT2034,0.03109127
18/09/2025,OAT2034,0.029328396
19/09/2025,OAT2034,0.033746055
22/09/2025,OAT2034,0.03750401
23/09/2025,OAT2034,0.039850987
24/09/2025,OAT2034,0.038013757
25/09/2025,OAT2034,0.039783383
26/09/2025,OAT2034,0.041069134
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
